confidence_percent,repeat,time_ms
30,8,0.386292
30,9,0.363625
30,10,0.384709
30,11,0.368125
30,12,0.353666
30,13,0.39125
30,14,0.361708
30,15,0.3765
30,16,0.353458
30,17,0.36525
30,18,0.359333
30,19,0.350792
30,20,0.596209
30,21,0.354834
30,22,0.358875
30,23,0.388125
30,24,0.393709
30,25,0.411458
30,26,0.379667
30,27,0.394292
30,28,0.407
30,29,0.360959
30,30,0.361166
30,31,0.361334
30,32,0.382584
30,33,0.355375
30,34,0.372125
30,35,0.399
30,36,0.407625
30,37,0.357792
30,38,0.411333
30,39,0.355459
30,40,0.368917
30,41,0.367291
30,42,0.45825
30,43,0.355333
30,44,0.416542
30,45,0.356459
30,46,0.35975
30,47,0.362708
30,48,0.415958
30,49,0.377792
30,50,0.363709
30,51,0.396458
30,52,0.371541
30,53,0.437417
30,54,0.362416
30,55,0.357583
30,56,0.355167
30,57,0.397958
30,58,0.384833
30,59,0.370375
30,60,0.386417
30,61,0.369792
30,62,0.357042
30,63,0.358291
30,64,0.514875
30,65,0.354041
30,66,0.359709
30,67,0.366083
30,68,0.367291
30,69,0.373542
30,70,0.399667
30,71,0.417542
30,72,0.360833
30,73,0.363459
30,74,0.365958
30,75,0.362375
30,76,0.365625
30,77,0.360958
30,78,0.505916
30,79,0.366667
30,80,0.37075
30,81,0.354209
30,82,0.393
30,83,0.362417
30,84,0.404625
30,85,0.354167
30,86,0.378
30,87,0.362209
30,88,0.366834
30,89,0.364541
30,90,0.36375
30,91,0.426125
30,92,0.38325
30,93,0.402875
30,94,0.389083
30,95,0.357208
30,96,0.36125
30,97,0.363209
30,98,0.379458
30,99,0.375792
30,100,0.410875
35,1,0.356666
35,2,0.342833
35,3,0.349584
35,4,0.350542
35,5,0.349333
35,6,0.392959
35,7,0.34025
35,8,0.351208
35,9,0.346917
35,10,0.354667
35,11,0.337458
35,12,0.346417
35,13,0.36175
35,14,0.339042
35,15,0.336583
35,16,0.420084
35,17,0.353209
35,18,0.382292
35,19,0.36775
35,20,0.373375
35,21,0.372125
35,22,0.397709
35,23,0.339833
35,24,0.346666
35,25,0.387583
35,26,0.367625
35,27,0.379083
35,28,0.391208
35,29,0.429541
35,30,0.340334
35,31,0.339417
35,32,0.339125
35,33,0.369416
35,34,0.337167
35,35,0.352541
35,36,0.3475
35,37,0.362792
35,38,0.359417
35,39,0.33975
35,40,0.338458
35,41,0.348625
35,42,0.391917
35,43,0.378
35,44,0.425583
35,45,0.338542
35,46,0.347458
35,47,0.349
35,48,0.367958
35,49,0.425166
35,50,0.360375
35,51,0.368084
35,52,0.404
35,53,0.364042
35,54,0.346041
35,55,0.35025
35,56,0.348125
35,57,0.34925
35,58,0.349
35,59,0.339833
35,60,0.356166
35,61,0.395834
35,62,0.347875
35,63,0.472083
35,64,0.380959
35,65,0.348959
35,66,0.387333
35,67,0.367125
35,68,0.380833
35,69,0.352166
35,70,0.349
35,71,0.36225
35,72,0.368916
35,73,0.349083
35,74,0.368458
35,75,0.527166
35,76,0.35075
35,77,0.349083
35,78,0.348875
35,79,0.3815
35,80,0.348583
35,81,0.35425
35,82,0.349541
35,83,0.392458
35,84,0.340625
35,85,0.353625
35,86,0.340791
35,87,0.349083
35,88,0.36275
35,89,0.357292
35,90,0.383167
35,91,0.353125
35,92,0.343166
35,93,0.353583
35,94,0.350917
35,95,0.364292
35,96,0.349958
35,97,0.362667
35,98,0.351458
35,99,0.468125
35,100,0.382667
40,1,0.404875
40,2,0.334833
40,3,0.335667
40,4,0.334417
40,5,0.331375
40,6,0.350208
40,7,0.341291
40,8,0.34575
40,9,0.341208
40,10,0.330041
40,11,0.330791
40,12,0.349125
40,13,0.39625
40,14,0.360916
40,15,0.332625
40,16,0.329
40,17,0.3415
40,18,0.349125
40,19,0.439542
40,20,0.332375
40,21,0.349584
40,22,0.333209
40,23,0.332834
40,24,0.361458
40,25,0.342
40,26,0.34875
40,27,0.330792
40,28,0.401083
40,29,0.349416
40,30,0.334583
40,31,0.330208
40,32,0.366417
40,33,0.340542
40,34,0.378333
40,35,0.379583
40,36,0.333875
40,37,0.333792
40,38,0.332375
40,39,0.426417
40,40,0.333042
40,41,0.339083
40,42,0.382875
40,43,0.373292
40,44,0.399875
40,45,0.359292
40,46,0.3385
40,47,0.342291
40,48,0.338083
40,49,0.346667
40,50,0.377583
40,51,0.364625
40,52,0.339958
40,53,0.344917
40,54,0.342458
40,55,0.367042
40,56,0.340833
40,57,0.372583
40,58,0.375042
40,59,0.383
40,60,0.339292
40,61,0.344292
40,62,0.360417
40,63,0.371333
40,64,0.382625
40,65,0.342375
40,66,0.336333
40,67,0.353958
40,68,0.429375
40,69,0.351916
40,70,0.333125
40,71,0.341333
40,72,0.360792
40,73,0.412834
40,74,0.396084
40,75,0.368584
40,76,0.360041
40,77,0.342708
40,78,0.353875
40,79,0.378708
40,80,0.37425
40,81,0.386416
40,82,0.361625
40,83,0.349875
40,84,0.33525
40,85,0.336042
40,86,0.401083
40,87,0.343041
40,88,0.406
40,89,0.340625
40,90,0.34375
40,91,0.344708
40,92,0.366708
40,93,0.396
40,94,0.332125
40,95,0.332041
40,96,0.336583
40,97,0.359583
40,98,0.343041
40,99,0.338625
40,100,0.354708
45,1,0.330791
45,2,0.329
45,3,0.327291
45,4,0.341792
45,5,0.33325
45,6,0.379917
45,7,0.334709
45,8,0.328458
45,9,0.361167
45,10,0.338625
45,11,0.334625
45,12,0.324667
45,13,0.326208
45,14,0.35875
45,15,0.383833
45,16,0.350917
45,17,0.346625
45,18,0.40625
45,19,0.329583
45,20,0.323875
45,21,0.333417
45,22,0.324292
45,23,0.327458
45,24,0.335625
45,25,0.348917
45,26,0.337291
45,27,0.36375
45,28,0.417542
45,29,0.338792
45,30,0.347458
45,31,0.333209
45,32,0.323291
45,33,0.364583
45,34,0.355875
45,35,0.33025
45,36,0.329875
45,37,0.354458
45,38,0.365667
45,39,0.34675
45,40,0.32475
45,41,0.324791
45,42,0.359792
45,43,0.365917
45,44,0.326708
45,45,0.348583
45,46,0.345375
45,47,0.373625
45,48,0.326375
45,49,0.420125
45,50,0.359
45,51,0.323792
45,52,0.336708
45,53,0.391167
45,54,0.3425
45,55,0.334417
45,56,0.385166
45,57,0.341584
45,58,0.340958
45,59,0.346208
45,60,0.341584
45,61,0.338125
45,62,0.3605
45,63,0.333875
45,64,0.404292
45,65,0.344
45,66,0.435833
45,67,0.373959
45,68,0.331708
45,69,0.327083
45,70,0.329458
45,71,0.326458
45,72,0.3675
45,73,0.354209
45,74,0.371833
45,75,0.376042
45,76,0.341083
45,77,0.44675
45,78,0.357
45,79,0.33125
45,80,0.374625
45,81,0.388042
45,82,0.334583
45,83,0.346375
45,84,0.381292
45,85,0.337625
45,86,0.335125
45,87,0.406292
45,88,0.339583
45,89,0.350334
45,90,0.341625
45,91,0.326167
45,92,0.341458
45,93,0.334
45,94,0.372458
45,95,0.37025
45,96,0.33425
45,97,0.3345
45,98,0.33325
45,99,0.3345
45,100,0.334917
50,1,0.322792
50,2,0.325625
50,3,0.338667
50,4,0.332
50,5,0.386375
50,6,0.339791
50,7,0.387125
50,8,0.435208
50,9,0.44075
50,10,0.341125
50,11,0.329417
50,12,0.351625
50,13,0.336708
50,14,0.3545
50,15,0.390917
50,16,0.375417
50,17,0.334166
50,18,0.403083
50,19,0.371041
50,20,0.324292
50,21,0.329958
50,22,0.334
50,23,0.326292
50,24,0.396708
50,25,0.362709
50,26,0.326083
50,27,0.324541
50,28,0.3225
50,29,0.374375
50,30,0.360625
50,31,0.348791
50,32,0.3335
50,33,0.378666
